player_id,year,team,league,G,PA,AB,R,H,doubles,triples,HR,RBI,BB,SO,SB,CS,IBB,HBP,SH,SF,GIDP,TB
110017,1950,CLE,,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
110017,1953,DET,,14,27,23,2,3,0,0,0,2,3,6,0,0,0,0,1,0,0,3
110017,1954,DET,,18,45,39,3,5,0,0,0,3,2,17,0,0,0,0,3,1,1,5
110017,1955,DET,,14,19,17,0,1,0,0,0,0,0,9,0,0,0,0,2,0,1,1
110017,1956,DET,,11,13,10,0,3,0,0,0,0,1,4,0,0,0,0,2,0,0,3
110017,1957,KC1,,10,10,9,0,2,0,0,0,1,1,4,0,0,0,0,0,0,0,2
110019,1952,CLE,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110020,1942,PHA,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110020,1943,PHA,,2,3,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
110020,1944,PHA,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110021,1955,WS1,,15,31,26,1,4,0,0,0,0,1,6,0,0,0,0,4,0,1,4
110021,1956,WS1,,4,11,11,1,2,0,0,0,1,0,5,0,0,0,0,0,0,0,2
110021,1957,WS1,,15,28,24,3,4,1,0,0,1,1,5,0,0,0,1,2,0,2,5
110021,1960,WS1,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110021,1963,CLE,,7,7,5,1,2,1,0,0,0,1,2,0,0,0,0,1,0,0,3
110021,1964,CLE,,6,7,6,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
110021,1965,CHN,,21,22,18,1,3,0,0,0,2,0,7,0,0,0,1,3,0,0,3
110021,1966,ATL,,11,13,12,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,2
110021,1967,CIN,,17,17,17,0,1,0,0,0,2,0,10,0,0,0,0,0,0,1,1
110021,1968,CIN,,18,20,17,2,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0
110021,1969,CHN,,6,8,8,1,2,1,0,0,1,0,2,0,0,0,0,0,0,0,3
110021,1970,KCA,,17,20,17,1,3,0,0,0,2,0,7,0,0,0,0,3,0,0,3
110021,1971,KCA,,13,14,13,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,1
110021,1972,KCA,,6,6,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
110022,1946,NY1,,7,7,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
110023,1947,CHN,,47,140,140,24,39,6,3,4,20,21,32,0,0,0,0,0,0,5,63
110023,1948,CHN,,12,37,32,1,6,1,0,1,6,5,10,0,0,0,0,0,0,0,10
110023,1949,CHN,,4,2,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
110024,1905,SLA,,5,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
110024,1909,CLE,,5,0,11,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
110024,1911,NYA,,2,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
110025,1987,SDN,,16,49,47,5,13,3,1,2,7,2,8,1,0,0,0,0,0,0,24
110025,1988,SDN,,33,89,83,6,15,3,0,2,5,4,19,0,1,1,1,0,1,1,24
110025,1989,SDN,,39,108,102,13,18,4,0,2,14,5,20,1,0,2,0,0,1,1,28
110025,1990,SDN,,81,198,184,17,45,9,0,1,15,9,28,2,3,1,2,2,1,3,57
110025,1991,CAL,,83,230,216,27,42,10,2,3,14,11,43,1,2,4,1,1,1,6,65
110025,1992,CHA,,80,228,208,21,58,10,1,1,16,12,35,1,2,2,3,2,3,3,73
110026,1949,BRO,,8,31,24,6,2,1,0,0,0,7,6,1,0,0,0,0,0,1,3
110026,1950,BRO,,34,54,44,5,9,1,0,0,4,9,13,0,2,0,0,1,0,0,10
110026,1951,BRO,,67,187,151,27,42,8,0,3,19,36,27,3,2,1,0,0,0,5,59
110026,1952,CIN,,77,189,168,24,46,9,2,2,13,21,29,1,0,3,0,0,0,1,65
110026,1953,PIT,,118,411,448,66,128,10,6,15,43,58,70,4,4,1,0,6,0,2,195
110026,1954,BAL,,130,551,465,73,130,23,8,6,27,83,75,1,6,4,4,6,1,7,187
110026,1955,BAL,,111,407,310,56,75,12,3,6,32,89,70,2,8,2,3,3,2,6,111
110026,1956,CHA,,4,5,3,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1
110027,1923,CIN,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110028,1985,CHN,,5,9,9,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
110029,1996,HOU,,13,24,22,1,5,1,0,0,1,2,3,0,0,0,0,0,0,1,6
110029,1997,HOU,,58,210,188,22,47,10,2,3,26,21,48,7,2,0,1,0,0,0,70
110029,1998,PHI,,150,589,497,68,155,29,6,17,74,84,133,19,10,14,0,4,4,6,247
110029,1999,PHI,,152,662,546,118,183,35,11,20,93,109,113,27,9,8,3,0,4,13,300
110029,2000,PHI,,153,680,576,103,182,42,10,25,79,100,116,28,8,9,1,0,3,12,319
110029,2001,PHI,,162,704,588,118,170,48,4,31,110,106,137,36,14,11,1,0,9,13,319
110029,2002,PHI,,157,685,572,102,176,50,6,20,85,104,117,31,12,9,3,0,6,11,298
110029,2003,PHI,,158,695,577,99,173,35,1,20,101,109,126,22,9,13,2,0,7,13,270
110029,2004,PHI,,159,713,574,118,173,47,1,30,105,127,116,40,5,10,5,0,7,5,312
110029,2005,PHI,,162,719,588,104,168,37,1,24,102,117,134,31,9,15,6,0,8,7,279
110029,2006,NYA,,155,686,548,98,163,41,2,15,107,124,138,30,6,6,3,2,9,13,253
110029,2007,NYA,,157,699,605,123,171,40,5,16,101,84,115,25,8,0,3,0,7,11,269
110029,2008,NYA,,156,684,609,100,180,39,4,20,100,73,109,22,11,2,1,0,1,14,287
110029,2009,ANA,,152,667,563,96,165,29,3,15,103,94,113,30,8,7,1,0,9,15,245
110029,2010,ANA,,154,667,573,88,146,41,1,20,78,87,132,24,10,3,2,0,5,13,249
110029,2011,ANA,,142,585,502,54,127,30,1,8,60,78,113,21,5,5,1,1,3,8,183
110029,2012,LAN,,98,257,219,29,53,11,1,3,24,37,56,6,2,3,0,0,1,7,75
110029,2014,NYN,,75,155,133,12,33,9,0,1,14,20,21,1,0,0,0,0,2,3,45
110030,1942,CIN,,9,32,28,4,6,1,0,1,3,4,4,0,0,0,0,0,0,1,10
110031,1906,PIT,,8,0,20,2,4,0,0,0,1,0,1,2,0,0,0,1,0,0,4
110031,1909,PIT,,137,0,502,51,133,20,10,1,67,29,55,15,11,0,4,26,2,4,176
110031,1910,SLA,,25,87,87,1,13,2,0,0,3,4,14,3,2,0,0,0,1,2,15
110032,1995,COL,,10,19,18,0,1,0,0,0,0,1,6,0,0,0,0,0,0,2,1
110032,1997,NYN,,4,7,6,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0
110032,1998,SLN,,11,20,17,2,3,1,0,0,0,1,5,0,0,0,0,2,0,0,4
110032,1999,SLN,,13,22,20,0,1,0,0,0,0,0,16,0,0,0,0,2,0,0,1
110032,2000,MIL,,2,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
110032,2001,FLO,,3,4,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2
110033,1986,ATL,,13,28,28,1,3,1,0,0,0,0,21,0,0,0,0,0,0,0,4
110033,1987,ATL,,14,15,14,1,3,0,0,0,1,1,8,0,0,0,0,0,0,0,3
110033,1988,ATL,,4,6,5,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2
110033,1989,TOR,,6,7,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1
110034,1956,CIN,,10,22,19,3,1,0,0,0,1,3,12,0,0,0,0,0,0,1,1
110034,1957,CIN,,16,25,19,1,1,0,0,0,0,3,15,0,0,0,1,2,0,0,1
110034,1958,CIN,,16,37,30,5,2,0,0,0,1,5,16,0,0,0,0,2,0,0,2
110034,1959,CIN,,7,12,9,1,1,0,0,0,0,1,3,0,0,0,0,2,0,0,1
110035,1963,CHA,,2,5,5,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1
110035,1964,CHA,,1,2,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2
110036,1913,WS1,,10,21,20,3,6,0,1,0,1,5,2,2,3,0,0,1,0,0,8
110036,1914,WS1,,37,84,74,10,19,2,2,0,6,11,18,3,5,0,0,0,0,1,25
110036,1915,WS1,,71,202,163,20,34,4,1,0,18,28,15,8,6,0,4,6,4,2,40
110036,1916,WS1,,4,10,8,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1
110036,1918,PHA,,51,196,171,23,51,3,3,0,14,18,11,5,4,0,0,9,2,2,60
110037,1972,CHA,,4,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
110037,1973,CHA,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110037,1974,CHA,,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
110038,1971,SDN,,6,17,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
110038,1972,SDN,,9,13,12,1,1,0,0,0,0,1,9,0,0,0,0,0,0,0,1
110039,1920,WS1,,14,28,25,2,6,1,0,0,1,4,7,0,0,0,0,1,1,0,7
110039,1921,WS1,,19,37,30,2,2,0,0,0,0,6,14,1,0,0,0,1,0,1,2
110039,1922,CHA,,3,6,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
110041,1931,CHN,,18,79,76,9,21,3,1,0,3,1,8,1,4,0,0,2,0,2,26
110042,1958,BAL,,8,20,19,1,2,0,0,0,0,1,7,0,0,0,0,0,0,1,2
110042,1959,BAL,,11,36,35,3,11,0,1,0,2,1,5,0,0,0,0,0,0,0,13
110042,1960,BAL,,3,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4
110042,1961,BAL,,124,428,386,41,102,21,1,9,37,35,50,5,3,4,2,1,4,6,152
110042,1962,BAL,,138,573,538,67,153,29,4,11,47,26,77,7,7,1,2,4,3,15,223
110042,1963,BAL,,107,401,382,34,87,21,3,6,30,9,51,3,3,2,2,3,5,17,132
110042,1964,BAL,,151,605,569,56,141,20,3,9,47,28,72,3,3,10,1,4,3,20,194
110042,1965,BAL,,157,625,582,51,151,26,3,7,66,35,65,6,4,7,2,4,2,26,204
110042,1966,CHA,,120,460,422,30,105,19,2,4,39,21,52,3,2,0,1,10,6,15,140
110042,1967,BOS,,114,443,414,47,112,17,1,3,35,17,52,1,5,0,3,6,3,15,140
110042,1968,BOS,,72,224,208,18,45,1,0,2,12,9,28,0,0,2,1,6,0,10,52
110042,1969,KCA,,126,461,432,29,108,9,1,5,48,20,35,1,3,4,3,2,4,23,134
110042,1970,KCA,,7,33,27,0,4,0,0,0,1,5,3,0,1,1,0,1,0,1,4
110043,1941,NY1,,8,9,11,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
110043,1942,NY1,,9,9,10,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
110043,1943,NY1,,24,36,32,3,4,0,0,0,1,2,4,0,0,0,0,2,0,0,4
110043,1944,NY1,,24,33,28,2,3,0,0,0,0,2,3,0,0,0,0,4,0,2,3
110043,1945,NY1,,18,20,16,2,3,0,0,0,1,2,3,0,0,0,0,2,0,0,3
110044,1906,SLN,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110044,1907,PIT,,4,0,7,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2
110044,1909,PIT,,21,0,39,0,2,0,1,0,1,1,13,0,0,0,0,5,0,1,4
110044,1910,PIT,,31,92,82,9,16,3,0,0,6,9,23,0,0,0,0,4,1,1,19
110044,1911,PIT,,36,109,103,9,26,5,1,0,10,3,17,0,0,0,0,2,1,3,33
110044,1912,PIT,,23,63,53,5,12,3,1,0,3,8,9,0,0,0,0,1,1,0,17
110044,1913,PIT,,38,118,114,13,33,6,2,0,13,1,16,0,1,0,0,1,2,3,43
110044,1914,PIT,,37,103,97,8,16,0,2,1,4,3,28,0,0,0,1,1,1,1,23
110044,1915,PIT,,33,90,85,4,12,1,0,0,7,3,14,0,0,0,0,2,0,1,13
110044,1916,PIT,,10,25,22,1,6,0,1,0,2,2,1,0,0,0,0,1,0,2,8
110044,1918,PIT,,3,9,9,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,5
