player_id,year,team,league,W,L,G,GS,IP,SO,BB,HR,CG,SHO,SV,H,ER,R,IBB,WP,HBP,BK,BFP,GF,SH,SF,GIDP
407836,2005,SFN,,0,0,3,0,7.0,1,2,2,0,0,0,9,8,8,0,0,0,0,31,2,0,0,1
407837,2003,HOU,,1,0,2,2,8.0,6,3,0,0,0,0,5,1,2,1,1,1,0,33,0,0,0,0
407838,2007,CIN,,3,0,7,6,32.667,16,13,8,0,0,0,32,18,18,0,1,0,0,137,0,1,1,4
407839,2002,ATL,,2,1,57,0,51.667,33,37,6,0,0,0,50,20,20,5,2,5,0,238,10,1,0,5
407839,2003,ATL,,6,4,64,0,44.333,32,23,3,0,0,0,44,19,22,6,2,2,0,191,9,4,0,11
407839,2004,ATL,,3,2,69,0,50.667,24,23,2,0,0,2,54,16,22,4,5,0,0,217,10,1,0,10
407839,2005,TEX,,1,1,42,0,31.0,10,20,1,0,0,0,41,19,25,5,2,3,0,154,9,4,2,4
407839,2006,WAS,,0,0,6,0,5.667,4,2,3,0,0,0,14,9,11,0,0,1,0,35,1,1,0,0
407840,2002,TBA,,0,0,9,0,13.0,6,7,3,0,0,0,15,10,10,0,0,2,0,61,4,0,0,1
407840,2003,TBA,,1,1,28,0,44.667,36,25,6,0,0,0,40,27,28,1,3,2,0,192,8,2,1,5
407840,2004,HOU,,5,3,33,9,67.0,54,27,10,0,0,0,75,32,33,4,1,1,0,293,8,5,1,7
407840,2005,HOU,,10,8,26,25,149.333,97,67,19,1,1,0,151,79,82,1,5,4,2,653,0,7,1,13
407840,2006,HOU,,3,2,8,8,43.0,19,18,4,0,0,0,43,18,18,0,2,3,0,189,0,1,2,3
407840,2007,HOU,,3,1,5,5,28.667,11,11,4,0,0,0,27,12,13,0,0,2,0,123,0,0,1,1
407840,2008,HOU,,9,14,31,31,166.667,127,77,36,0,0,0,202,112,114,2,2,4,0,756,0,4,2,17
407840,2009,HOU,,0,0,5,1,13.0,10,6,5,0,0,0,21,15,15,1,2,0,0,65,3,0,1,0
407842,2006,NYA,,0,0,12,0,11.0,6,5,2,0,0,1,8,5,5,0,1,0,1,43,4,0,0,1
407842,2007,NYA,,0,0,9,0,9.333,7,7,0,0,0,2,6,6,6,1,1,0,0,41,3,0,0,0
407842,2008,NYA,,5,3,60,0,57.667,63,29,7,0,0,0,52,23,23,6,4,3,0,253,15,2,1,1
407842,2009,CLE,,4,3,47,0,50.333,40,28,8,0,0,0,42,29,33,0,0,6,1,225,19,4,0,3
407842,2010,FLO,,3,3,48,0,48.0,54,29,5,0,0,0,32,20,20,0,2,1,0,201,11,1,0,4
407842,2011,PIT,,2,4,79,0,71.0,79,34,6,0,0,1,54,30,32,3,5,4,1,305,19,2,3,2
407842,2012,MIL,,5,4,72,0,67.0,79,40,5,0,0,1,61,27,29,1,1,2,0,300,17,1,2,2
407842,2013,DET,,0,5,67,0,62.667,60,22,6,0,0,21,45,21,23,1,2,4,0,254,45,2,0,4
407842,2014,HOU,,4,1,46,0,46.0,50,27,6,0,0,1,37,23,25,1,6,3,0,203,11,2,1,5
407843,2002,DET,,1,3,5,5,30.0,5,6,2,1,1,0,38,10,13,0,1,0,0,131,0,2,1,4
407845,2002,DET,,1,3,20,0,18.0,10,10,2,0,0,0,25,12,15,2,0,0,1,89,10,2,1,0
407845,2003,DET,,1,3,27,0,29.667,33,17,2,0,0,3,35,20,20,1,0,1,0,143,11,3,3,0
407845,2005,DET,,2,3,39,0,44.0,42,17,5,0,0,9,39,14,14,3,2,2,0,185,26,2,0,4
407845,2006,DET,,7,4,63,0,71.667,65,34,6,0,0,7,51,28,36,4,3,8,0,304,30,2,0,4
407845,2007,DET,,2,6,48,0,50.667,54,21,5,0,0,1,46,24,27,0,4,3,0,223,12,4,2,3
407845,2008,DET,,0,6,38,0,40.333,49,30,3,0,0,13,34,22,22,5,3,3,0,188,25,1,2,1
407845,2009,DET,,2,5,73,0,75.667,61,41,8,0,0,37,70,37,38,4,5,2,0,330,65,4,2,12
407845,2010,ANA,,4,3,72,0,68.0,53,35,4,0,0,14,70,32,33,1,4,5,0,308,30,1,0,7
407845,2011,ANA,,3,5,39,0,32.0,26,28,1,0,0,3,26,16,18,0,2,3,0,150,15,3,0,4
407845,2012,TBA,,2,2,76,0,74.667,76,15,2,0,0,48,43,5,9,1,4,3,0,282,65,4,2,5
407845,2013,TBA,,5,4,68,0,66.667,82,36,3,0,0,37,53,25,27,3,4,1,1,290,55,1,1,2
407845,2014,SEA,,1,6,69,0,66.333,76,28,3,0,0,48,61,21,24,3,4,3,0,286,64,4,1,6
407845,2015,CHN,,7,5,68,0,62.667,58,29,9,0,0,16,59,33,36,3,6,8,0,277,32,1,1,7
407845,2016,MIA,,2,4,67,0,65.333,74,37,5,0,0,25,54,25,27,3,5,5,1,283,41,3,1,6
407845,2017,ARI,,5,4,61,0,55.333,65,26,3,0,0,39,40,26,29,3,7,2,0,231,53,2,1,3
407845,2018,OAK,,4,3,68,0,64.333,70,32,7,0,0,25,62,24,27,1,6,3,0,285,40,0,2,4
407845,2019,WAS,,0,5,55,0,47.667,49,28,5,0,0,2,49,30,31,1,6,0,0,210,16,0,0,7
407849,2010,BOS,,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
407850,2002,MIL,,0,0,5,0,5.0,5,3,3,0,0,0,7,6,6,1,1,1,0,26,2,2,0,0
407851,2003,MIL,,0,3,4,4,16.333,10,15,3,0,0,0,25,18,18,2,3,0,1,86,0,4,0,2
407852,2002,BAL,,0,0,3,0,4.667,3,4,3,0,0,0,6,7,7,0,0,1,0,25,0,0,0,0
407853,2002,BAL,,0,0,2,0,0.667,1,0,0,0,0,0,2,1,1,0,0,0,0,4,0,0,0,0
407853,2004,BAL,,6,10,27,26,137.333,121,71,13,0,0,0,149,70,83,1,7,7,2,633,0,0,4,6
407853,2005,BAL,,6,8,24,24,141.667,125,57,10,0,0,0,139,63,66,1,4,5,1,606,0,3,6,15
407853,2006,BAL,,15,11,33,33,196.333,171,69,16,0,0,0,196,82,92,0,6,5,0,844,0,6,4,17
407853,2007,BAL,,13,5,28,28,182.0,221,57,19,1,1,0,141,64,66,0,3,5,0,733,0,2,4,13
407853,2008,SEA,,6,4,15,15,81.0,72,37,9,0,0,0,70,33,38,0,3,4,0,347,0,1,2,10
407853,2009,SEA,,5,3,15,15,83.0,90,34,8,0,0,0,65,26,29,0,2,4,0,348,0,2,1,2
407853,2011,BOS,,5,9,24,24,129.333,125,48,14,0,0,0,118,52,63,0,5,1,0,541,0,1,1,8
