key_mlbam,key_retro,key_bbref
110124,alexd001,alexado01
110123,alexd101,alexada01
110126,alexg001,alexage01
110125,alexg101,alexaga01
110127,alexg102,alexape01
110128,alexh101,alexahu01
669920,alexj001,alexaja01
820746,alexk101,alexako01
110129,alexm001,alexama02
110130,alexm101,alexama01
110133,alexn101,alexani01
518397,alexs001,alexasc02
820745,alexs101,alexasp01
641302,alext001,alexaty01
820743,alext101,alexate01
110132,alexw101,alexawa01
430898,alfaj001,alfarja01
595751,alfaj002,alfarjo01
110134,alfoa001,alfonan01
546990,alfoa002,alforan01
820739,alfoa101,alfonan02
429661,alfoc801,
110135,alfoe001,alfoned01
425769,alfoe002,alfonel01
503062,alguj801,
110136,alicl001,alicelu01
110137,allaa001,allanan01
110138,allab101,allarbr01
,allab102,
663465,allak001,allarko01
682027,alldc001,alldrca01
664119,allea001,allenau01
820738,allea101,allenal01
450315,alleb001,allenbr01
110161,alleb101,allenbo04
110159,alleb102,allenbo03
110160,alleb103,allenbo01
110158,alleb104,allenbo02
110140,alleb105,allenbe01
820735,alleb106,allenbu01
150210,allec001,allench01
592102,allec002,allenco01
820737,allec101,allencl02
820736,allec102,allencl01
284569,alled001,allendu01
110157,alled101,allendi01
110142,allee101,allenet01
110144,allef101,allenfr01
110164,alleg001,allenga01
656185,alleg002,allengr01
110166,alleg101,alleyge01
110148,alleh101,allenho01
110147,alleh102,allenha01
110146,alleh103,allenhe01
110145,alleh104,allenha02
820734,alleh105,allenha03
820732,alleh106,allenho02
820733,alleh107,
110165,allej001,allenje01
110149,allej101,allenja02
110152,allej102,allenjo02
110141,allej103,allenja01
110151,allej104,allenjo01
110153,allek101,allenki01
282598,allel001,allenlu01
663531,allel002,allenlo01
671106,allel003,allenlo02
110154,allel101,allenll01
110155,allem101,allenmy01
820731,allem102,
110156,allen001,allenne01
669397,allen002,allenni02
110139,allen101,allenni01
820730,allen102,allenne02
110150,allep101,allenpe01
110162,aller001,allenro02
110163,aller101,allenro01
110143,alles101,allensl01
820727,allet101,allento02
820728,allet102,allento01
680430,allgn001,allgeni01
110170,allia101,allisar01
110169,allia102,allisan01
820726,allia901,allismo01
110168,allib101,alliebo01
110175,allib102,allisbi01
110176,allib103,allisbo01
,allib104,
110171,allid001,allisda01
110172,allid101,allisdo01
110167,allig101,alliega01
110174,allim101,allismi01
110173,allim102,allisma01
820724,alliu101,allis02
110177,allrb001,allrebe01
150355,almaa001,almanar01
110179,almac001,almanca01
,almal101,
110178,almam101,almadme01
110180,almer101,almeira01
501659,almoa001,almonab01
546991,almoa002,almoral01
110181,almob001,almonbi01
400095,almoe001,almoner01
407824,almoe002,almoned01
150356,almoh001,almonhe01
602083,almom001,almonmi01
622075,almoy001,almonye01
501660,almoz001,almonzo01
110182,aloml101,alomalu01
110183,alomr001,alomaro01
110184,aloms001,alomasa02
110185,aloms101,alomasa01
624413,alonp001,alonspe01
820722,alonr101,alonsro01
475174,alony001,alonsyo01
110186,alouf101,aloufe01
110187,alouj101,alouje01
110189,aloum001,aloumo01
110188,aloum101,alouma01
110190,alpew101,alperwh01
110194,alstd101,alstode01
,alstd901,
110191,alstg001,alstoga01
110192,alstt101,alstoto01
110193,alstw101,alstowa01
656186,altad001,altavda01
110195,altap001,altampo01
110196,altee101,altener01
110197,altej101,altenje01
571437,altha001,altheaa01
110198,altid101,altizda01
434138,altmb701,
110199,altmg101,altmage01
110200,altoj101,altobjo01
110201,altrn101,altroni01
514888,altuj001,altuvjo01
666906,alu-j001,aluja01
110202,alusg101,alusige01
433877,alvaa001,alvarab01
669137,alvaa002,alvarar01
674841,alvaa003,alvaran01
345593,alvac001,alvarcl01
516714,alvad001,alvarda01
645848,alvad002,alvarda02
657193,alvae001,alvared01
665660,alvae002,alvarel01
682626,alvaf001,alvarfr01
134080,alvag001,alvarga01
506693,alvah001,alvarhe01
110206,alvaj001,alvarjo01
235094,alvaj002,alvarju01
501625,alvaj003,alvarjo02
621237,alvaj004,alvarjo03
110203,alval101,alvarlu01
805373,alvan001,alvarna01
110207,alvao101,alvaros01
110205,alvao102,alvaror01
476883,alvap001,alvarpe01
571439,alvar001,alvarrj01
110208,alvar101,alvarro01
820721,alvar102,alvarra01
110204,alvat001,alvarta01
407887,alvat002,alvarto01
407874,alvav001,alvarvi01
110209,alvaw001,alvarwi01
670541,alvay001,alvaryo01
493737,alvej701,
110210,alvim101,alvisma01
110211,alvob101,alvorbi01
110212,alyeb101,alyeabr01
640470,alzoa001,alzolad01
691182,amada001,amadoad01
110213,amalj101,amalfjo01
506560,amara001,amarial01
110214,amarr001,amarari01
110215,amarr002,amaroru02
110216,amarr101,amaroru01
676070,amayj001,amayaja01
665804,amaym001,amayami01
110217,amblw101,amblewa01
407876,ambrc001,ambrech01
459932,ambrh001,ambrihe01
664011,ambut001,amburtr01
110218,amele001,amelued01
110219,amesr101,amesre01
571441,amess001,amesst01
407792,ameza001,amezaal01
,amict801,
110220,amold101,amoledo01
110222,amors101,amorosa01
110221,amorv101,amorvi01
110223,anckw101,anckewa01
110226,andea001,anderal02
110227,andea101,anderan01
110225,andea102,anderal01
,andea901,
110229,andeb001,anderbr01
110230,andeb002,anderbr02
435042,andeb003,anderbr03
474463,andeb004,anderbr04
457762,andeb005,anderbr05
605119,andeb006,anderbr06
110245,andeb101,anderbu01
110253,andeb102,anderbo01
110257,andeb103,anderbi01
820710,andeb104,anderbo02
820711,andeb105,anderbu02
820716,andeb106,anderbi03
820717,andeb107,anderbi02
502624,andec001,anderch01
594736,andec002,anderco01
110250,andec101,andercr01
820712,andec102,anderc02
110231,anded001,anderda02
449776,anded002,anderdr01
623454,anded003,anderdr02
110233,anded101,anderdw01
110232,anded102,anderda01
110243,andef101,anderfr01
110235,andef102,anderfe01
820709,andef103,anderfa01
110236,andeg001,anderga01
681982,andeg002,andergr01
110234,andeg101,andergo01
110237,andeg102,anderge01
110240,andeh101,anderha02
110239,andeh102,anderha01
666120,andei001,anderia01
110241,andej001,anderji01
150247,andej002,anderji02
425427,andej003,anderja01
461811,andej004,anderjo03
605121,andej005,anderju01
110244,andej101,anderjo01
110242,andej102,anderjo02
110246,andek001,anderke01
110224,andel001,anderla02
502249,andel002,anderla03
110247,andel101,anderla01
820708,andel102,anderle01
110249,andem001,andermi02
150183,andem002,anderma01
136724,andem003,anderma02
110248,andem101,andermi01
623433,anden001,anderni01
820703,andeo101,anderor01
,andeo901,
110251,ander001,anderri02
110252,ander101,anderri01
110228,ander102,anderre01
820707,ander103,anderro01
110254,andes001,andersc01
641312,andes002,andersh01
110238,andes101,andersp01
641313,andet001,anderti01
542881,andet002,anderty01
664196,andet003,anderta01
110255,andev101,anderva01
110258,andew101,anderwi01
110256,andew102,anderwa01
435180,andir001,andinro01
110276,andrb101,andrubi01
427004,andrb801,
,andrb901,
150467,andrc001,andrecl01
677076,andrc002,andrecl02
820699,andrc101,andrecu01
462101,andre001,andruel01
110265,andre101,andreed01
110263,andre102,andreel01
110260,andre103,andreer01
110264,andrf101,andrefr01
110275,andrf102,andrufr01
110266,andrh101,andrehu01
110267,andri101,andreiv01
607430,andrj001,andrejo03
110269,andrj101,andrejo02
110259,andrj102,andrejo01
110268,andrj103,andreji01
820700,andrj104,andreja01
429725,andrj801,
110261,andrk101,andreki01
542882,andrm001,andrima01
110270,andrm101,andremi01
110271,andrn101,andrena01
820702,andrp101,
110272,andrr101,andrero01
110262,andrs001,andresh01
430644,andrs002,andrast01
110273,andrs101,andrest01
110277,andrw101,andruwi01
110274,andrw102,andrewa01
110278,anduj001,andujjo01
110279,andul001,andujlu01
609280,andum001,andujmi01
110280,angen101,angelno01
,anglj101,
518408,anglm001,anglema01
110281,anglt101,angleto01
110282,ankep101,ankenpa01
150449,ankir001,ankieri01
542883,annad001,annade01
,annaw901,
110283,annib101,annisbi01
110284,ansoc101,ansonca01
110285,anthe001,anthoer01
,anthm901,
701350,anthr001,anthoro01
110289,antob101,antonbi01
542884,antod001,antoldu01
110288,antoj101,antonjo01
110286,antoj102,antoljo01
110287,antoj103,antonjo02
453327,antom001,antonma01
622088,antot001,antonte01
493114,aokin001,aokino01
110290,aparl101,aparilu01
110291,apodb101,apodabo01
110292,aponl001,apontlu01
506608,aponr801,
665947,aposs001,apostsh01
571446,appem001,appelma01
110293,appik001,appieke01
110295,apple101,appleed01
110294,applf101,applefr01
110297,appll101,applilu01
110296,applp101,applepe01
820695,applr101,applere01
606157,aquia001,aquinar01
425628,aquig001,aquingr01
593969,aquij001,aquinja01
110298,aquil001,aquinlu01
110299,araga101,aragoan01
110300,aragj101,aragoja01
666018,aranj001,arandjo01
820693,aranp101,arangpe01
644364,aranv001,aranovi01
,aratm901,
542587,araue001,araujel01
660620,arauj001,arauzjo01
606478,araup001,araujpe01
502042,archc001,archech01
110302,archf101,archefr01
110305,archg101,archige01
110304,archj101,archeji02
110303,archj102,archeji01
820691,archl101,
110301,archm101,archdma01
516472,arcif001,arciafr01
110306,arcij101,arciajo01
542455,arcio001,arciaos01
606115,arcio002,arciaor01
110307,arded101,ardelda01
110308,ardir101,ardizru01
110309,ardnj101,ardnejo01
150416,ardod001,ardoida01
110310,arelf101,arellfr01
820684,arenh101,arenahi01
450317,arenj001,arencjp01
820687,arenm101,arencma01
571448,arenn001,arenano01
110311,arfth101,arftha01
110312,ariaa001,ariasal01
464244,ariaa002,ariasal02
110313,ariag001,ariasge01
672356,ariag002,ariasga01
435078,ariaj001,ariasjo01
678215,arial001,ariaslu01
110314,ariar101,ariasru01
685503,arihk001,arihako01
820683,ariom101,ariosma01
110315,arleb101,arletbu01
110316,arlid101,arlicdo01
110317,arlis101,arlinst01
820676,armaf101,armasfe01
,armaj101,
110319,armam001,armasma01
